date,open,high,low,close,volume
2018-01-01,436.93544070439526,438.8136655797725,431.7557826161738,432.6890563964844,6580516
2018-01-02,433.6340127905395,437.4720898664656,433.6340127905395,436.8537902832031,4776316
2018-01-03,437.4720463501494,438.2303312304897,431.9190564493103,432.25738525390625,4531288
2018-01-04,432.3390412640181,435.25552157475755,432.3390412640181,433.9489440917969,2373776
2018-01-05,434.67227048622647,435.8505400461768,432.93405943368197,434.812255859375,2870868
2018-01-08,435.13885038972813,436.4687539823326,433.44729185604155,434.11224365234375,4570308
2018-01-09,434.43894132804274,436.27048541128966,432.80571222530574,434.8355712890625,5305528
2018-01-10,435.18549737067065,435.8154741815216,433.34230467249125,434.9521789550781,4615888
2018-01-11,434.9522199214611,437.70538887726343,433.0973497352986,436.90045166015625,4059096
2018-01-12,437.0054027547983,438.2069983198087,433.97226328025886,435.2088623046875,4336708
2018-01-15,436.29379593198075,444.3316331027293,433.9372854358322,442.7800598144531,12576444
2018-01-16,444.109930026245,445.6381770520921,439.86354622379923,443.3399963378906,6445384
2018-01-17,442.60504018021334,443.89996879622515,440.2718559937072,441.0884704589844,2905496
2018-01-18,448.90457898396454,455.90413063132365,447.5163459664044,451.3077697753906,16649540
2018-01-19,451.50619056618507,457.28082202913674,447.7964216270681,455.4842529296875,11455988
2018-01-22,457.30411284971063,463.83702874756364,455.70588733523647,458.0857238769531,8849768
2018-01-23,458.47074328825994,458.86737325127433,453.40774443681545,455.2742919921875,5047796
2018-01-24,455.56588012605795,459.4039566394583,455.1108921305284,456.75579833984375,4790568
2018-01-25,455.88083992736387,461.9704446377016,455.0875516494126,460.79217529296875,8723668
2018-01-29,461.50385657084894,468.2584137565709,461.50385657084894,466.5552062988281,8235892
2018-01-30,466.12358838176783,467.0801882845037,462.9387859962069,465.5869445800781,6397560
2018-01-31,464.16372328480827,469.78669215067845,463.6037533168106,467.966796875,6943348
2018-02-01,468.0367946518226,470.13666062982185,463.2071142949265,464.572021484375,6521420
2018-02-02,463.3704033446263,464.2803509205568,452.9877331790493,454.5043029785156,7346124
2018-02-05,447.5047150962361,451.52945771115276,444.66989068860977,446.53643798828125,7926784
2018-02-06,433.97225107870173,446.1048086357407,428.44261604616736,442.5583801269531,10749804
2018-02-07,444.93828080707715,444.93828080707715,434.532283711511,436.95880126953125,8364972
2018-02-08,439.57192313298515,442.9783665225845,435.48885059857577,438.86029052734375,5171444
2018-02-09,431.1491571244242,435.0688898836029,430.26253564727085,431.5224609375,6408952
2018-02-12,433.9722676990568,440.0385467099038,432.8406790413609,437.8570251464844,4381108
2018-02-14,440.9251387831101,442.81501219145514,437.39035920604306,439.3735656738281,3577188
2018-02-15,440.9018369261044,442.0801064198968,437.4720673108888,439.08197021484375,4915224
2018-02-16,439.5486108320543,442.1034363344179,437.62373371948445,438.31201171875,3583520
2018-02-19,439.2452652228981,440.4118573585593,433.75063335268595,438.2186584472656,3654552
2018-02-20,439.7468954521994,440.0035400199082,433.69229379947717,434.7188720703125,4084068
2018-02-21,435.8271539918047,435.9671678361138,432.152388685023,433.36566162109375,2753072
2018-02-22,431.639104071597,433.97228841793,429.6675746914474,432.3857116699219,13253596
2018-02-23,433.24901155722256,439.770250481816,431.7324417160376,438.7669982910156,4076748
2018-02-26,440.52848310518544,446.75810172510415,439.4669014311341,445.99981689453125,4788884
2018-02-27,446.74646737247434,448.3796963953793,443.3050205027817,443.8999938964844,4787328
2018-02-28,440.86683713783816,442.2433930471798,438.1719979623418,439.6185607910156,4066364
2018-03-01,438.4753167994861,441.741774669809,435.83880726879596,437.32037353515625,3909840
2018-03-05,437.27377781882353,438.1720481531312,433.56400877558895,436.2938232421875,3781464
2018-03-06,436.30547298155045,438.61533118182126,429.1892607216909,430.76416015625,4576828
2018-03-07,429.30590776757134,432.43238040082497,426.622745844024,427.579345703125,5628164
2018-03-08,429.2591976077548,433.62224023320545,427.4393027211366,432.3039855957031,5518724
2018-03-09,432.7940439184612,435.19723532643724,430.2392183042221,431.8841247558594,4108108
2018-03-12,434.0189425134606,436.17713804277474,432.43239424012285,435.6638488769531,6557116
2018-03-13,435.7104597975932,439.746879742713,432.80565694268876,434.03057861328125,5124200
2018-03-14,433.03901012335746,435.8155051625328,431.17246266592923,435.022216796875,3680392
2018-03-15,435.18555733065443,440.3885701077409,435.18555733065443,438.8253479003906,5870924
2018-03-16,438.6386478957265,438.8952924721807,430.83415781370024,432.33905029296875,7896336
2018-03-19,432.3390173923019,433.97224627613684,430.0408367305845,430.9974365234375,7838740
2018-03-20,430.4958475861829,433.0156981285685,428.1976666503641,429.18927001953125,3657372
2018-03-21,431.1724302735159,434.7188587836978,430.07584511716084,433.7156066894531,5921140
2018-03-22,433.71562470139077,438.6386377587087,432.8290032963986,435.7804870605469,6673224
2018-03-23,430.8574597323759,432.362352127021,428.6642609199748,429.66754150390625,7190152
2018-03-26,429.2825495927603,443.3049803811995,427.7893060678575,441.7767333984375,10501768
2018-03-27,441.8584599017713,443.07170436112744,437.7053804009874,441.5784606933594,6136836
2018-03-28,439.326930890135,443.235014632791,437.7170564915962,440.0618896484375,8837508
2018-04-02,441.0885150034228,451.64617451355497,441.0885150034228,450.5845642089844,4596368
2018-04-03,448.8929667165885,449.30127395518144,445.8715045435017,447.0147705078125,4079884
2018-04-04,446.326519255459,449.1263406662515,438.2770326994305,439.39697265625,3714108
2018-04-05,443.60834688940844,446.57147958821844,441.01848950491245,445.3815612792969,4858892
2018-04-06,446.15146508135666,449.4762525197797,444.6582499992771,448.7646484375,3720008
2018-04-09,447.6914392307902,453.10441570875315,447.13146927207725,452.4161376953125,4003536
2018-04-10,453.33771726129595,453.33771726129595,446.45482345830663,448.1697082519531,6067236
2018-04-11,447.0147555177905,447.9713553198794,444.56491216838486,447.7030334472656,2870812
2018-04-12,447.03814019985157,450.98122761289676,444.6816296038174,450.0246276855469,4712516
2018-04-13,449.83792524857955,452.6377463600852,447.7613855612955,449.1379699707031,3297172
2018-04-16,447.97138447070256,454.97093735305725,447.93638101004007,453.1277160644531,2847744
2018-04-17,453.45428818410744,455.20417609837597,451.2610896353079,454.6208801269531,2667832
2018-04-18,455.2042278642072,455.78752390196246,450.31621846031885,450.9111633300781,2712720
2018-04-19,452.6377373666355,453.757677181487,451.0045084173745,452.4044189453125,3169032
2018-04-20,452.87111407585707,457.5374831029138,450.8062514776357,456.3475646972656,9361380
2018-04-23,461.73717073019077,461.73717073019077,434.0422846160355,451.6461486816406,15304620
2018-04-24,451.4711608886719,454.5159777848411,449.3712950240734,451.4711608886719,5037416
2018-04-25,449.8145947303295,452.17110511335903,446.10482609739034,448.1463623046875,4020592
2018-04-26,447.224732829976,452.45104234891915,445.9298042818111,450.36285400390625,7847480
2018-04-27,451.00449954187144,451.58779558370003,446.2214719988769,448.7646484375,5777008
2018-04-30,450.3045265903326,456.090834490315,450.02455589376126,453.6409912109375,4609552
2018-05-02,454.97095089147587,461.5038671094047,454.03767714605743,459.5206604003906,7100048
2018-05-03,459.1823118076352,460.780537232466,454.0376294341363,459.1473083496094,4152772
2018-05-04,459.63728358225814,464.30365194349935,458.7740168279294,463.95367431640625,6881436
2018-05-07,462.35543381091827,463.6736885263434,460.80386068501974,461.36383056640625,5264128
2018-05-08,461.7954784316182,461.94714109943897,456.0441737365857,458.9490051269531,7100564
2018-05-09,456.4058331221249,462.0871309546529,456.4058331221249,461.59716796875,4327332
2018-05-10,463.9770244004192,466.40354176970897,462.4371284580106,464.9336242675781,7171672
2018-05-11,464.9336293986366,470.60327870513663,463.37040729221684,469.37835693359375,6057068
2018-05-14,470.64990712665974,473.02977210798286,469.52999579537754,471.7115173339844,4742916
2018-05-15,472.94812575425465,481.8025486085794,472.86644152033546,475.456298828125,9826684
2018-05-16,473.76477927534916,478.0694931875371,470.63830642013613,472.0848693847656,6841604
2018-05-17,472.20153307370754,477.00788738371233,469.5533743975798,473.1114807128906,6615476
2018-05-18,472.3997781565603,472.3997781565603,467.4534392065706,469.4716491699219,5217460
2018-05-21,470.39326180968106,471.53652776622573,463.3820603633632,465.0152893066406,4848108
2018-05-22,466.33348884867735,469.89159455672655,463.25369726765314,464.2803039550781,3960372
2018-05-23,463.7903300223841,465.23689271958386,458.09735532796066,459.053955078125,5726292
2018-05-24,458.9606376917431,464.3619645686308,456.4524647892872,463.370361328125,4520744
2018-05-25,464.30367429401036,470.36995345564065,464.2803481473317,468.6667175292969,4759588
2018-05-28,468.4567485447829,478.7694116129504,468.0367639842001,476.4828796386719,5103940
