date,icici_close,banknifty_close,icici_ret,banknifty_ret
2018-01-02,297.47869873046875,436.8537902832031,-0.0019353871443885972,0.009579207624622018
2018-01-03,302.5696105957031,432.25738525390625,0.016968747153401863,-0.010577353076480896
2018-01-04,302.2813720703125,433.9489440917969,-0.0009530894566437192,0.0039056768136637543
2018-01-05,300.55242919921875,434.812255859375,-0.0057360672476912495,0.0019874553601116865
2018-01-08,301.75311279296875,434.11224365234375,0.003986963760193041,-0.001611215609322772
2018-01-09,300.2643127441406,434.8355712890625,-0.004946046478931033,0.0016648360036140507
2018-01-10,299.68798828125,434.9521789550781,-0.0019212348687729932,0.00026812901580068106
2018-01-11,297.28656005859375,436.90045166015625,-0.008045372060255226,0.004469278131728973
2018-01-12,305.16302490234375,435.2088623046875,0.026149619367965428,-0.0038793106547136713
2018-01-15,316.3052978515625,442.7800598144531,0.035861737937504565,0.017247108698521318
2018-01-16,320.91583251953125,443.3399963378906,0.014471005136540259,0.0012637939838427846
2018-01-17,329.7048034667969,441.0884704589844,0.02701883441673694,-0.005091493155967773
2018-01-18,332.4903259277344,451.3077697753906,0.008413045542182512,0.022904054503561866
2018-01-19,339.6463317871094,455.4842529296875,0.02129411088146214,0.00921162203081076
2018-01-22,337.62921142578125,458.0857238769531,-0.0059565898862082,0.005695191490331287
2018-01-23,348.0030517578125,455.2742919921875,0.030262963441310492,-0.006156259777618261
2018-01-24,338.8298645019531,456.75579833984375,-0.026713142381304192,0.00324881309606483
2018-01-25,346.5622253417969,460.79217529296875,0.022564278249236038,0.008798238580964037
2018-01-29,343.5365295410156,466.5552062988281,-0.008768933917220433,0.012429226225700887
2018-01-30,339.3101806640625,465.5869445800781,-0.012378774861290907,-0.0020774987293269973
2018-01-31,339.02203369140625,467.966796875,-0.0008495748363109567,0.0050984905196505
2018-02-01,332.53839111328125,464.572021484375,-0.01930978598261754,-0.007280748683056219
2018-02-02,321.8764343261719,454.5043029785156,-0.032587587858464113,-0.02190921679725194
2018-02-05,316.68951416015625,446.53643798828125,-0.01624588426381954,-0.017686376048938114
2018-02-06,317.6500549316406,442.5583801269531,0.0030284773406358454,-0.00894861678731506
2018-02-07,319.4269714355469,436.95880126953125,0.005578355640556421,-0.012733473855740562
2018-02-08,320.6757507324219,438.86029052734375,0.0039018139993081007,0.004342203231908004
